CampaignPromises,DetailActivities,ManifestoReference,ElectedOffficial,ProgressStatusComments,ReferencedDocuments,ProgressStatus
"Service Delivery","Increase the number of health facilities to ensure that every citizen can access health facility within 3 mile radius
	Ensure that every facility has the minimum number of technical staff as required by the Ministry of Health
	Review and upgrade the training curriculum in existing health institutions for all levels of training to provide care services for existing ailments
	Develop the infrastructure and provide trained tutors to the health training institutions
	Introduce a National Ambulance Service through public-private partnerships
	Establish blood transfusion units in all district hospitals and ensure regular and adequate supply of blood in health facilities, particularly during birth.
	Review policies and strengthen systems and scale up interventions to address maternal and child malnutrition.
	Introduce a National Tele-medicine Programme to deliver health education and care services to all.
	Improve on the procurement, storage and distribution of drugs and supplies to ensure drug availability in health facilities at all times.
	Launch a flagship programme for sexual and reproductive health for adolescents to reduce teenage pregnancy and the alarming maternal mortality
	Introduce public-private partnership in health facility management and health care service delivery in public hospitals and Peripheral Health Units
	Establish modern Infectious and Tropical Disease Control Centres in Freetown and in the regional capitals.
	Develop Mental Health Treatment and Care Facilities in Freetown and build new facilities in the provinces","Improving Health Care","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Disease Prevention, Control and Surveillance","Improve waste management in growing urban communities through
	re-introducing special cleaning days
		strengthening and expanding coverage of public-private partnership in garbage collection
		introducing recycling and incinerator facilities
		promoting waste to energy project
		re-introduce sanitary inspectors under the supervision of the local councils
	
	Intensify campaigns against diseases and promote hygienic practices
	Scale up interventions for the prevention and management of both communicable and non-communicable diseases
	Develop diagnostics and treatment facilities that can provide quality health care service at affordable cost and save the much needed foreign exchange usually spent on people for treatment overseas through
	Equipping laboratory facilities in all district hospitals with modern equipment and materials for testing and x-ray facilities
		Provide modern equipment including scanning and dialysis machines, CD4 count machines in all regional hospitals that will diagnose illness we usually pay for overseas
	
	Scale up and sustain delivery of maternal and child immunisation programmes","Improving Health Care","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Expanding and Improving Free Health Care Management","Expand coverage for free health care to cover not only children under five years, pregnant women and lactating mothers but to include all school going children
	Legislate the free health care programme
	Establish and strengthen national, district and community-based monitoring of free health care drugs and services
	Strengthen the drug distribution system","Improving Health Care","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Human Resource Management","Strengthen human resource management making functional the Health Service Commission and developing a comprehensive Human Development Plan that would ensure the immediate absorption of trained health workers in the public service
	Improve on the conditions of health workers for all categories to attract and retain them.
	Develop special incentive scheme for trained medical doctors and those working in remote areas","Improving Health Care","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Health Financing","Increase budgetary allocation to health and sanitation from its current level of less than 10% to 15% as required by the Abuja Declaration and ensure timely disbursement of allocated resources
	Review and implement the National Health Insurance Scheme to provide universal access to health care and establish a Board to manage it
	Improve on the co-ordination of all interventions by government and donors including NGOs.
	Strengthen the management of all resources allocated to the health sector and effectively track all donor resources to the sector","Improving Health Care","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Health Governance","Enhance the capacity for health planning, management, monitoring and co-ordination.
	Develop a new National Health Policy and Action Plan to translate the New Direction into concrete programmes.
	Develop a robust policy and legal framework for Public-Private-Partnership in the health sector.
	Develop a new NGO/donor co-ordination policy that will make them more accountable and integrated into the public health programmes
	Develop and implement a Blood Bank policy that will ensure that blood is available in facilities at critical moments such as surgery and delivery.
	Review laws and policies relating to regulatory bodies such as Medical and Dental Association and make them more functional
	Promote social dialogue with relevant stakeholders in the health sector including but not limited to the Sierra Leone Health Service Workers Union, the Sierra Leone Medical and Dental Association and the Nurses and Midwives Association
	Strengthen Health Management and Information System (HMIS) to support informed strategic decision-making, programme development, management and evaluation by providing quality data at all levels at all times.","Improving Health Care","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Civic Education","Launch a National Programme on Civic Education
	Develop curriculum and materials for civic education
	Re-introduce Civic Education in schools and train civic educators","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing Access to Quality Technical and Vocational Education","The New Direction believes that training is the foundation for enhancing the country’s competitiveness. SLPP will establish in every district capital one polytechnic that will be fully equipped with modern tools and equipment for technical vocational education and training in areas with high potential for job creation as part of our Skills for Jobs Competitiveness Programme
	Establish technical and vocational centres in all chiefdoms that would provide training in areas relevant for the rural sector such as hand-pump repairs, bicycle, motorcycle (okada) and vehicle repairs, fabrication and maintenance of agricultural tools and equipment
	Review and standardize the curriculum and certification for TVET for government and private service providers
	Develop a national apprenticeship scheme which can provide internship for trainees of TVET institutes and at the same time provide direct training for youth
	Increase budgetary allocation and disbursement for technical and vocational education to improve on the infrastructure, training tools and equipment, human resources development as well as monitoring and supervision of TVET so that degrees and certificates by local TVET institutes are of quality standard and nationally and internationally acceptable
	Adopt a policy for private companies to provide support in the form of infrastructure, modern tools and equipment and specialised training to TVET institutes within and around their areas of operation in line with Local Content Act and as part of Corporate Social Responsibilities
	Grant autonomy and empower District Councils and the private sector to supervise TVET in order to allow central government freedom to focus on governance and policy particularly through implementation of new programmes. These interest groups and stakeholders are better placed to drive TVET at district level.","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing Access to Functional Adult Literacy Education","Establish at least one Functional Adult Literacy Centre using existing school facility in every chiefdom.
	Support special functional literacy programmes for women
	Review the development of a curriculum for adult literacy
	Integrate literacy programmes into agricultural and livelihood programmes","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing the number of Qualified Teacher","Establish teacher training campuses/colleges in all district capitals
	Expand and improve on distance learning education for teachers
	Provide free tuition for teacher education
	Introduce and expand on teaching of foreign languages, notably French in teacher training colleges","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving the conditions of Teachers","In the New Direction, the SLPP will raise the morale and productivity of our teachers. To this end, a Presidential Initiative for teachers will be launched. The Initiative will ensure that matters relating to teachers are treated with utmost importance. Other specific actions include:

Review the functions and making functional the Teachers Service Commission with a view to creating opportunities for teachers to have a career path
	Develop a special incentive scheme for Science and French teachers as well as teachers in remote areas and those in special needs institutions
	Introduce THE BEST TEACHER award for the most innovative, ingenious and dedicated teachers at national and district levels
	Build staff quarters and embark on long-term housing scheme for teachers
	Provide free university education for three children of every school teacher with at least 10 years’ teaching experience  Review the status of Community Teachers nationwide","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Education Financing and Management","Whilst the Government will continue to be the principal investor in the education sector, it will also secure support from donors, NGOs and the private sector within a context of a more robust policy and legal framework. Specifically, in the New Direction, the Government will:

Increase government budgetary allocation and disbursement from less than 15% to 20% of GDP in line with the Education for All (EFA) target
	Develop a new policy and legal framework to attract additional donor and private sector investment in education
	Improve on the co-ordination of all interventions by government, donors including NGOs
	Strengthening the management of all resources allocated to the education sector and effectively track all donor resources to the sector
	Promote social dialogue with relevant stakeholders in the education service delivery including the Sierra Leone Teachers Union","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Supporting the Production of Manufacturing Raw Materials","Incentivise credit institutions to provide credit to agricultural activities producing raw materials for local manufacturing industries
	Provide support in the forms of improved seedlings, extension services and transportation to farmers.","Developing the Manufacturing Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Promoting Trade Integration to Promote Export","Actively participate in regional trade initiatives within the Mano River Union (MRU) and ECOWAS
	Develop roads infrastructure linking neighbouring countries to Sierra Leone from all border districts","Developing the Manufacturing Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Promoting Manufacturing Industries producing Farm Implements, School Materials and Medical Supplies","Provide special incentives to industries producing farm implements, school materials and medical supplies","Developing the Manufacturing Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Technical Skills Development","Align the curriculum of technical and vocation institutes with the needs of the manufacturing sector
	Provide training materials and equipment for practical training
	Train staff in areas relevant for manufacturing industrialisation
	Develop a national internship and apprenticeship programme in areas relevant for
	manufacturing industry","Developing the Manufacturing Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Providing Finance for Local Entrepreneurs for Manufacturing Industrialisation","Encourage credit institutions including banks to provide credit to entrepreneurs in manufacturing sector, particularly those in agro-processing
	Train nationals in enterprise management","Developing the Manufacturing Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Establishing Special Economic Zones (SEZ) and Export Processing Zones (EPZ)","Identify and plan locations for establishing SEZ and EPZ with environmental protection focus.
	Provide the SEZ and EPZ with all needed infrastructure","Developing the Manufacturing Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving the Environment for Manufacturing Industrialisation","Review policy and laws to promote local manufacturing
	Improve on the ease of doing business and competitiveness of manufacturing industries","Developing the Manufacturing Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Infrastructure","Develop reliable, regular, cost effective and sustainable energy sources for manufacturing sector development
	Develop and adapt technology for manufacturing
	Develop transport network linking sources of raw materials and manufacturing zones","Developing the Manufacturing Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Policy and Legal Environment","Review and upgrade all tourism-related laws, regulations and policies to ensure consistency with regional and global best practices
	Develop a master plan for the tourism sector in line with the revised laws and policies
	Establish a Tourism Information Register (TIR)","Developing the Tourism Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Rehabilitating and Develop Historic and Cultural Sites","Prepare a rehabilitation plan for all strategic historic sites in Sierra Leone
	Establish public-private partnership to manage historic sites","Developing the Tourism Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Developing Infrastructure","Designate tourist attraction areas and provide them with the needed infrastructure including water, electricity and communications
	Develop tourist infrastructure (such as beach resorts, eco villages and research camps)
	Facilitate the construction of a toll bridge to link Freetown and Lungi Airport","Developing the Tourism Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Developing Skills in Tourism","Conduct a Skills Audit of the Tourism Sector
	Prepare a Manpower Development Plan for the Tourism Sector
	Upgrade the existing school for hotel management and tourism in terms of materials, equipment and staffing
	Introduce higher education programmes for tourism
	Promote public-private partnership for tourism training","Developing the Tourism Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Diversifying Tourism Products","Promote adventure tours such as safaris, jungle tours, mountain trekking

Support local entrepreneurs to promote tourism based activities linking with rural economy, harvest seasons, wildlife, farming practices, art, culture and religions","Developing the Tourism Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Promoting good governance and sustainable management of fisheries","Strengthen policy and regulatory framework for fish resources by:
	Revising the existing fisheries policy and finalization of the fisheries and aquaculture legislation
		Developing a Strategic Action Plan to implement the policy
		Institutional and management review of the MFMR
	
	Register all fishing vessels:
	Develop a web-based database of all industrial fishing fleets 29
		Conduct a survey of all artisanal canoes and conduct systematic registration of the artisanal fleet with markings
	
	Assess the status of key fish stocks (knowledge on the status of resources):
	Enhance the MFMR data collection system
		Enhance the research institute (IMBO)
		Conduct periodic indirect surveys of key fish stocks (Pelagic and demersal)
	
	Promote transparency by publicizing all fisheries management information such as the revenues, licence fees, vessels committing infractions, fines paid by vessels, etc.
	Prepare and implement Management Plans that set levels of sustainable exploitation for targeted fisheries and create rights and allocation mechanisms for such fisheries
	Introduce community-led management systems at the community level, transferring management responsibility to the community to manage their adjacent coastal fish resources
	Develop inclusive communication strategies to serve as platforms for publicizing and informing the public about government’s vision and development programmes for the fisheries sector","Improving Management of Marine Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Reduction of illegal fishing","Establish an enabling environment for reducing illegal fishing through regional and international cooperation and collaboration:

Establish an enabling legal and regulatory environment for combating illegal fishing
	Revitalize the Joint Maritime Committee (JMC)
	Implementing effective and sustainable surveillance systems","Improving Management of Marine Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improve handling of fish and fish products.","Construction of fish landing site clusters Construction of Fish Harbours with solar-powered cold chain facilities
 Construction or rehabilitation of existing landing sites
 Training on basic hygiene practices and sanitary operating procedures
 Rehabilitation of existing laboratories for fish quality and support accreditation to
certify fish and fisheries products for export to the EU and other foreign destinations
 Strengthen the capacity of the competent authority to certify fish and fisheries
products for export
 Training and demonstration on new smoking and drying technology
Facilitate the establishment of micro-credit facilities for women engaged in fisheries","Improving Management of Marine Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Aquaculture Development","Develop a policy and regulatory framework for sustainable aquaculture
	Construct pilot hatchery stations to produce fingerlings in pre-determined locations
	Develop a business model and market analyses of Sierra Leone’s capacity in feed production and farming technology
	Identify linkages between wild fisheries and aquaculture, paying special attention to the mangrove area protection and replantation.","Improving Management of Marine Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Oil and Gas Governance","Design a more appropriate petroleum policy taking account of the national context in the expectation of achieving rapid results and better practice, allowing incremental improvements to governance
	Review policies and laws on oil and gas to be guided by a clear vision for the development of the country and a strategic view of how the petroleum sector will deliver that vision
	Invest in geological data acquisition and strengthen pre-qualification criteria and ensure transparency to attract the best oil and gas companies
	Simplify both negotiations and tax structures to mitigate knowledge asymmetries with oil companies in order to reap early revenues and maximize long-term national benefits
	Government and the oil sector will engage and share information with concerned communities to manage local expectations regarding the sector and build trust
	Government will build capabilities for the meaningful participation of national organizations in oil and gas resource development
	Government will enforce the implementation of local content laws by working with oil companies to increase the participation of Sierra Leoneans and their competent businesses in the oil sector","Improving the Management of Oil and Gas Exploration","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Petroleum Fiscal Regime","Enact policies that will extend to ensure promotion, attraction and facilitation of foreign oil and gas investments through a competent and independent petroleum directorate
	The government will assert its commitment in providing lucrative fiscal incentives for foreign oil and gas companies. It will also embrace policies to assist investors with corporate and business formalization processes
	Expedite investment approval processes and acquisition of all necessary licenses, permits and authorization within acceptable timeframes
	Re-evaluate oil block data and dimensions to enable the best companies to have the most prospective blocks, guarantee a supportive and favorable legal framework that promises effective facilitation, protection and guaranteed foreign investments rights
	The fiscal regime will require companies to meet their end of grace time drilling in order to maintain their licenses. Defaulting on drilling obligatory wells will require a complete drilling programme from the concerned company to ensure that it meets its contract obligations and accelerates development and production.
	The new policy will award licenses to companies who have proven track records of finance and technical performance.","Improving the Management of Oil and Gas Exploration","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Capacity Building","Restructure the Petroleum Directorate by recruiting trained and qualified Sierra Leoneans without reference to their ethnic or regional origin
	Regular performance assessment will be conducted to maintain competence and improve output
	Through Corporate Social Responsibility schemes, the government will work with companies to train and employ Sierra Leonean women into the diverse pool of specialties in the sector
	Strengthen and upgrade the Petroleum Directorate to a Commission to report directly to the President and will be solely responsible for the affairs of oil and gas in Sierra Leone.","Improving the Management of Oil and Gas Exploration","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Review the Mines and Minerals Act 2009 to realign with the Mining Policy and consistent with international best practices","Review the Mines and Minerals Act 2009 to realign with the Mining Policy and consistent with international best practices","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Review the relevant law to allow for the establishment of a Natural Resources Account for all revenues generated from extractives","Review the relevant law to allow for the establishment of a Natural Resources Account for all revenues generated from extractives","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Decentralize the mining revenue collection and utilization in line with the increased national decentralization programme under the New Direction.","Decentralize the mining revenue collection and utilization in line with the increased
national decentralization programme under the New Direction.","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Strengthen the National Minerals Agency (NMA)","Strengthen the National Minerals Agency (NMA)","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Allocate percentages of revenue from the mining sector to education, health and the general development of mining communities.","Allocate percentages of revenue from the mining sector to education, health and the general development of mining communities.","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Ensure full transparency in the sector through complying with the EITI standards, make all contracts public, and provide updated and validated information on tax and other contributions from the mining sector to the government","Ensure full transparency in the sector through complying with the EITI standards, make all contracts public, and provide updated and validated information on tax and other contributions from the mining sector to the government","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Require transactions between mining companies and their affiliates to be made upon arms-length terms","Require transactions between mining companies and their affiliates to be made upon arms-length terms (including pricing), and requiring such transactions to be accompanied by contemporaneous documentation. The Government should have the right to review the terms of all such transactions","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Discourage advance taxation except under exceptional circumstances. In such cases this will be made public and will be within the framework of the national budget","Discourage advance taxation except under exceptional circumstances. In such cases this will be made public and will be within the framework of the national budget","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Ensure that companies provide meaningful employment for Sierra Leoneans especially in management positions and carry out requisite training.","Ensure that companies provide meaningful employment for Sierra Leoneans especially in management positions and carry out requisite training.","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Put in place policies and mechanisms to support value additions to our mineral resources with a view to generating jobs and additional income to Sierra Leoneans","Put in place policies and mechanisms to support value additions to our mineral resources with a view to generating jobs and additional income to Sierra Leoneans","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Ensure that all mining companies comply with the local content policy.","Ensure that all mining companies comply with the local content policy.","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Enforce corporate social responsibility in all mining activities","Enforce corporate social responsibility in all mining activities","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Governance and Research in the Agricultural Sector","Develop a robust policy framework and action plan to guide the planning and development of the sector
	Enhance capacity of agricultural stakeholders through the development and implementation of comprehensive Human Resource Development Plan targeting farmers, agricultural workers and agricultural instructors and teachers and establishing links in the education system from formal teaching to professional training
	Promote agricultural research through the establishment and strengthening of Research institutions
	Strengthen capacity of the Ministry of Agriculture at all levels, farm associations and relevant institutions linked to agriculture.
	Re-introduction of co-operatives to improve value addition and marketing of food crops, cash crops and livestock products from the rural communities to national level.","Developing the Agricultural Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Land Management","Improve mechanisms of land leases for bio-fuel for the benefit of food production with less or no social conflict
	Develop clear policies and laws relating to leasing of land
	Make public all land agreements
	Define and implement the regulatory framework and effective enforcement mechanism
	Put in place better environmental management mechanisms","Developing the Agricultural Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Water Management","Develop productive In-land Valley Swamps (IVS) and water ways to increase productivity through the invigoration of Land and Water Development Division (LWDD) of the Ministry of Agriculture Forestry and Food Security (MAFFS)
	Increase, develop and rationalize the water resources and agro climatological activities in relation to agricultural development and the agro ecological areas of the country
	Develop a national soil conservation and management programme geared towards controlling land degradation
	Develop a national irrigation and drainage programme geared towards reducing dependence on rain-fed agriculture and rationally develop and use agricultural water to take advantage of agro-climatic conditions","Developing the Agricultural Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing Livestock Production","Revive livestock research stations, notably the Teko Livestock Research Centre and the Musaia Livestock Station
	Re-establish veterinary clinics in all districts
	Support Njala University and proven poultry farmers to establish and expand on hatcheries that will ensure the supply of adequate day old chicks to meet the growing demand in the country
	Promote the production of maize to provide basic feed inputs
	Establish pilot intensive cattle production areas in appropriate agro-ecologies in the country to ensure amicable coexistence between cattle rearers and farmers
	Provide training at tertiary level in animal health
	Establish livestock clinics in all districts and build capacity of middle level manpower in providing health care to animals","Developing the Agricultural Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing cash crop production","Adopt the use of improved varieties of cocoa, coffee, cashew, oil palm and non-traditional cash crops
	Facilitate the establishment of cash crop cooperatives and provide training in the processing of cash crop to become competitive for export
	Upgrade the capacity of Standard Bureau to effectively monitor quality of cash crops
	Provide support for rehabilitation of existing plantations and establishment of new ones","Developing the Agricultural Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing Food Crop Production","Improve the seed bank system through rejuvenating the seed multiplication centres to attract reliable private sector players in seed multiplication and linking appropriate farm enterprises and the Agricultural Business Centres with seed companies for the production and distribution of certified seeds.
	Develop and implement mechanized commercial farming to transform the traditional subsistence agricultural sector.
	Diversify crops production through introduction of non-traditional crops
	Review the present input and output market system to offer farmers and stakeholders along the value chain an opportunity to assess the prevailing input market environment vis-à-vis constraints and potentials for future development purpose
	Review the legal, regulatory and policy framework guiding the importation, distribution and use of farm inputs
	Provide duty free support, concessions to local industries engaged in the fabrication of farm tools and supply for other farm inputs
	Put mechanisms in place for public and private partnership in tractor management
	Provide and adopt appropriate varieties, coupled with efficient use of water, nutrients and technology to increase productivity in rice and cassava
	Promote the safe use of organic and inorganic fertilizers
	Rehabilitate feeder roads linking farming communities to markets","Developing the Agricultural Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing investment in agriculture","Increase budgetary allocation to the agriculture sector to 10% in line with the Maputo Accord.
	Promote domestic financing of schemes that would compel persons seeking political office at ministerial and parliamentary levels to invest in agriculture
	Work with all mining firms to invest into agriculture, particularly, in support of land owners in their new locations as part of their resettlement plans
	Encourage local banks through various incentives to lend to the private sector for agricultural purposes
	Revisit the policy and legal framework on land tenure to make agriculture attractive to foreign investors and at the same time protect the interest of land owners","Developing the Agricultural Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Capacitating Bank of Sierra Leone","Strengthen regulation and supervisory role of the Central Bank in terms of staff competency, systems, technology
	Improve and sustain risk-based supervision of commercial banks
	Review the current Banking Act
	Rationalise remittances and develop a framework for using remittances for development purposes
	Develop the ICT infrastructure
	Strengthen the payment systems through improving Information, Communications and Technology
	Develop a manpower development plan based on skill gaps analysis and strengthen capacity of the bank, particularly in areas of research, banking supervision, Management Information System and internal audit
	Develop policy and regulation to allow commercial banks to lend in foreign currency","Strengthening the Financial Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Strengthening Commercial Banking","Review policies and laws relating to commercial banking supervision to make them competitive and in line with international best practices
	Provide support to government-owned commercial banks to make them competitive
	Strengthen Association of Commercial Banks
	Develop the Code of Ethics for the banking industry","Strengthening the Financial Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Expanding Micro-Finance Opportunities to Potential Entrepreneurs","Review policies and laws relating to micro-finance operations in Sierra Leone
	Strengthen Micro-Finance Institutions in terms of lending to Small and Medium Scale Enterprises (SMEs) and agriculture
	Design and implement a credit guarantee scheme that will not impose a burden on government or the commercial banks for lending to SMEs and agriculture.","Strengthening the Financial Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Re-establish Development Bank and Strengthen Commercial Banking","Re-establish National Development Bank with private sector participation
	Delink community banks from the central bank and link them with the Development Bank","Strengthening the Financial Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Improving Training","Revise curriculum for banking training in line with international standards
	Establish a national school of banking and finance
	Organise a yearly conference on the financial sector","Strengthening the Financial Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Strengthen Non-Bank Financial Institutions","Conduct a comprehensive institutional review of NASSIT
	Review the NASSIT ACT
	Develop a framework for regulation and supervision of the investment arm of NASSIT
	Review the Insurance Act 2000
	Strengthen the Sierra Leone Insurance Commission (SLICOM) and Sierra Leone Insurance Association (SLIA)
	Improve on insurance supervision and regulations
	Strengthen the capital market, notably the stock exchange and discount houses
	Develop policies and procedures for issuing long-term government debt","Strengthening the Financial Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing Access to Finance","Introduce a partial guarantee scheme to provide loans to high potential private sector entities in order to reduce the cost of finance for investment
	Review and strengthen the regulatory framework for Micro-finance Institutions (MFIs)
	Expand on mobile technology to improve on access to credit and repayment
	Re-establish National Development Banks to provide equity capital to Sierra Leoneans in businesses with credible foreign companies
	Establish a fund to provide access to medium and long-term capital to support Small and Medium Enterprises (SMEs) and encourage lending institutions to lend a significant proportion of bank loan portfolios to SMEs.","Developing the Private Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Reducing the Cost and Risk of Doing Business","Review all policies and laws governing business and update them in line with best practice
	Broaden and deepen regulatory reforms in areas such as labour laws, property registration and licensing procedures
	Modernise the legal and regulatory framework governing business and commerce
	Deregulate the investment climate to boost investment and private sector development
	Implement prudent fiscal and monetary policies to ensure a stable macro-economic environment
	Establish One-Stop-Shop (OSS) that will reduce business registration from 10 days to 2/3 days.
	Implement a land policy to ease leasing, ownership and disposal of land
	Review licensing procedures and reduce number of municipal licenses and ease accessing permits
	Capacitate the fast track commercial courts to reduce the time and cost of enforcing commercial contracts and provide mechanisms for low-cost alternative dispute resolution.","Developing the Private Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Promoting Local Entrepreneurship","Establish a Presidential Initiative on local entrepreneurship and social enterprise
	Continue to support business plan competition to give recognition and reward Sierra Leoneans with innovative ideas
	Mainstream, institutionalise and invest in entrepreneurial skills training at tertiary education levels and business organisations
	Develop the capacity of business organisations to provide relevant market information and advice to their membership and enhance their capability in business negotiations and dialogue with policy makers
	Review and implement the Local Content Act to give preference to Sierra Leoneans in the award of contracts and employment
	Withdraw fiscal incentives from companies that do not comply with employment and local content laws
	Review policies and laws relating the Small and Medium Enterprises (SMEs)  Support the domestic private sector to create linkages with large domestic as well as foreign firms","Developing the Private Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Capacity Building","Enhance Government's capacity in viable project identification and appraisals, trade negotiations through technical assistance to the Ministry of Trade and Industry
	Create a forum for constantly engaging the private sector especially through Chambers of Commerce
	Strengthen the Sierra Leone Investment and Export Promotion Agency (SLIEPA) with a view to facilitating domestic and foreign investment
	Design and deliver priority programmes, including investment promotion initiatives, ensuring alignment of GOSL policies and statutes with relevant international conventions","Developing the Private Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Developing the Infrastructure","Develop a framework to ensure that prioritisation of roads is based on investment potential of particular areas
	Improve on electricity supply in Freetown and all district capitals
	Re-establish a special industrial zone outside Freetown with uninterrupted power supply, water, and communications to attract investment.","Developing the Private Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
